annotation path,recording path,recording path raw,dataset,set,annotation start (ms),annotation end (ms),annotation duration (ms),recording duration (ms),format,child_id,annotation_filename,recording_filename
/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/annotations/cha/converted/Joe/000915b_0_3405544.csv,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/converted/standard/Joe/000915b.wav,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/raw/Joe/000915b.mp3,soderstrom,cha,0,3405544,3405544,3405544,cha,Joseph,Joe/000915b_0_3405544.csv,Joe/000915b.mp3
/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/annotations/cha/converted/Joe/000925_0_3279148.csv,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/converted/standard/Joe/000925.wav,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/raw/Joe/000925.mp3,soderstrom,cha,0,3279148,3279148,3279148,cha,Joseph,Joe/000925_0_3279148.csv,Joe/000925.mp3
/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/annotations/cha/converted/Joe/010021_0_3673276.csv,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/converted/standard/Joe/010021.wav,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/raw/Joe/010021.mp3,soderstrom,cha,0,3673276,3673276,3673276,cha,Joseph,Joe/010021_0_3673276.csv,Joe/010021.mp3
/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/annotations/cha/converted/Joe/010029_0_3842620.csv,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/converted/standard/Joe/010029.wav,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/raw/Joe/010029.mp3,soderstrom,cha,0,3842620,3842620,3842620,cha,Joseph,Joe/010029_0_3842620.csv,Joe/010029.mp3
/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/annotations/cha/converted/The/000615a_0_2202856.csv,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/converted/standard/The/000615a.wav,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/raw/The/000615a.mp3,soderstrom,cha,0,2202856,2202856,2202856,cha,Theo,The/000615a_0_2202856.csv,The/000615a.mp3
/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/annotations/cha/converted/The/000615b_0_1648096.csv,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/converted/standard/The/000615b.wav,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/raw/The/000615b.mp3,soderstrom,cha,0,1648096,1648096,1648096,cha,Theo,The/000615b_0_1648096.csv,The/000615b.mp3
/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/annotations/cha/converted/The/000623a_0_1649392.csv,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/converted/standard/The/000623a.wav,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/raw/The/000623a.mp3,soderstrom,cha,0,1649392,1649392,1649392,cha,Theo,The/000623a_0_1649392.csv,The/000623a.mp3
/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/annotations/cha/converted/The/000623b_0_491884.csv,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/converted/standard/The/000623b.wav,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/raw/The/000623b.mp3,soderstrom,cha,0,491884,491884,491884,cha,Theo,The/000623b_0_491884.csv,The/000623b.mp3
/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/annotations/cha/converted/The/000623c_0_1889836.csv,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/converted/standard/The/000623c.wav,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/raw/The/000623c.mp3,soderstrom,cha,0,1889836,1889836,1889836,cha,Theo,The/000623c_0_1889836.csv,The/000623c.mp3
/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/annotations/cha/converted/The/000629a_0_1990384.csv,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/converted/standard/The/000629a.wav,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/raw/The/000629a.mp3,soderstrom,cha,0,1990384,1990384,1990384,cha,Theo,The/000629a_0_1990384.csv,The/000629a.mp3
/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/annotations/cha/converted/The/000629b_0_194416.csv,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/converted/standard/The/000629b.wav,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/raw/The/000629b.mp3,soderstrom,cha,0,194416,194416,194416,cha,Theo,The/000629b_0_194416.csv,The/000629b.mp3
/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/annotations/cha/converted/The/000629c_0_1398904.csv,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/converted/standard/The/000629c.wav,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/raw/The/000629c.mp3,soderstrom,cha,0,1398904,1398904,1398904,cha,Theo,The/000629c_0_1398904.csv,The/000629c.mp3
/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/annotations/cha/converted/The/000708a_0_381796.csv,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/converted/standard/The/000708a.wav,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/raw/The/000708a.mp3,soderstrom,cha,0,381796,381796,381796,cha,Theo,The/000708a_0_381796.csv,The/000708a.mp3
/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/annotations/cha/converted/The/000708b_0_1552876.csv,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/converted/standard/The/000708b.wav,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/raw/The/000708b.mp3,soderstrom,cha,0,1552876,1552876,1552876,cha,Theo,The/000708b_0_1552876.csv,The/000708b.mp3
/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/annotations/cha/converted/The/000712_0_1644064.csv,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/converted/standard/The/000712.wav,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/raw/The/000712.mp3,soderstrom,cha,0,1644064,1644064,1644064,cha,Theo,The/000712_0_1644064.csv,The/000712.mp3
/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/annotations/cha/converted/The/000719a_0_1754728.csv,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/converted/standard/The/000719a.wav,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/raw/The/000719a.mp3,soderstrom,cha,0,1754728,1754728,1754728,cha,Theo,The/000719a_0_1754728.csv,The/000719a.mp3
/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/annotations/cha/converted/The/000719b_0_473596.csv,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/converted/standard/The/000719b.wav,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/raw/The/000719b.mp3,soderstrom,cha,0,473596,473596,473596,cha,Theo,The/000719b_0_473596.csv,The/000719b.mp3
/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/annotations/cha/converted/The/000719c_0_600676.csv,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/converted/standard/The/000719c.wav,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/raw/The/000719c.mp3,soderstrom,cha,0,600676,600676,600676,cha,Theo,The/000719c_0_600676.csv,The/000719c.mp3
/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/annotations/cha/converted/The/000726a_0_1234600.csv,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/converted/standard/The/000726a.wav,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/raw/The/000726a.mp3,soderstrom,cha,0,1234600,1234600,1234600,cha,Theo,The/000726a_0_1234600.csv,The/000726a.mp3
/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/annotations/cha/converted/The/000726b_0_921400.csv,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/converted/standard/The/000726b.wav,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/raw/The/000726b.mp3,soderstrom,cha,0,921400,921400,921400,cha,Theo,The/000726b_0_921400.csv,The/000726b.mp3
/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/annotations/cha/converted/The/000726c_0_647548.csv,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/converted/standard/The/000726c.wav,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/raw/The/000726c.mp3,soderstrom,cha,0,647548,647548,647548,cha,Theo,The/000726c_0_647548.csv,The/000726c.mp3
/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/annotations/cha/converted/The/000726d_0_919456.csv,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/converted/standard/The/000726d.wav,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/raw/The/000726d.mp3,soderstrom,cha,0,919456,919456,919456,cha,Theo,The/000726d_0_919456.csv,The/000726d.mp3
/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/annotations/cha/converted/The/000726e_0_1333420.csv,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/converted/standard/The/000726e.wav,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/raw/The/000726e.mp3,soderstrom,cha,0,1333420,1333420,1333420,cha,Theo,The/000726e_0_1333420.csv,The/000726e.mp3
/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/annotations/cha/converted/The/000805a_0_915964.csv,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/converted/standard/The/000805a.wav,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/raw/The/000805a.mp3,soderstrom,cha,0,915964,915964,915964,cha,Theo,The/000805a_0_915964.csv,The/000805a.mp3
/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/annotations/cha/converted/The/000805b_0_948976.csv,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/converted/standard/The/000805b.wav,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/raw/The/000805b.mp3,soderstrom,cha,0,948976,948976,948976,cha,Theo,The/000805b_0_948976.csv,The/000805b.mp3
/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/annotations/cha/converted/The/000805c_0_375352.csv,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/converted/standard/The/000805c.wav,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/raw/The/000805c.mp3,soderstrom,cha,0,375352,375352,375352,cha,Theo,The/000805c_0_375352.csv,The/000805c.mp3
/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/annotations/cha/converted/The/000809a_0_1943872.csv,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/converted/standard/The/000809a.wav,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/raw/The/000809a.mp3,soderstrom,cha,0,1943872,1943872,1943872,cha,Theo,The/000809a_0_1943872.csv,The/000809a.mp3
/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/annotations/cha/converted/The/000809b_0_1616884.csv,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/converted/standard/The/000809b.wav,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/raw/The/000809b.mp3,soderstrom,cha,0,1616884,1616884,1616884,cha,Theo,The/000809b_0_1616884.csv,The/000809b.mp3
/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/annotations/cha/converted/The/000818a_0_1394872.csv,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/converted/standard/The/000818a.wav,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/raw/The/000818a.mp3,soderstrom,cha,0,1394872,1394872,1394872,cha,Theo,The/000818a_0_1394872.csv,The/000818a.mp3
/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/annotations/cha/converted/The/000818b_0_393460.csv,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/converted/standard/The/000818b.wav,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/raw/The/000818b.mp3,soderstrom,cha,0,393460,393460,393460,cha,Theo,The/000818b_0_393460.csv,The/000818b.mp3
/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/annotations/cha/converted/The/000823a_0_1261996.csv,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/converted/standard/The/000823a.wav,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/raw/The/000823a.mp3,soderstrom,cha,0,1261996,1261996,1261996,cha,Theo,The/000823a_0_1261996.csv,The/000823a.mp3
/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/annotations/cha/converted/The/000823b_0_1435120.csv,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/converted/standard/The/000823b.wav,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/raw/The/000823b.mp3,soderstrom,cha,0,1435120,1435120,1435120,cha,Theo,The/000823b_0_1435120.csv,The/000823b.mp3
/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/annotations/cha/converted/The/000823c_0_1219444.csv,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/converted/standard/The/000823c.wav,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/raw/The/000823c.mp3,soderstrom,cha,0,1219444,1219444,1219444,cha,Theo,The/000823c_0_1219444.csv,The/000823c.mp3
/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/annotations/cha/converted/The/000823d_0_1110832.csv,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/converted/standard/The/000823d.wav,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/raw/The/000823d.mp3,soderstrom,cha,0,1110832,1110832,1110832,cha,Theo,The/000823d_0_1110832.csv,The/000823d.mp3
/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/annotations/cha/converted/The/000900_0_2438188.csv,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/converted/standard/The/000900.wav,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/raw/The/000900.mp3,soderstrom,cha,0,2438188,2438188,2438188,cha,Theo,The/000900_0_2438188.csv,The/000900.mp3
/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/annotations/cha/converted/The/000909a_0_809764.csv,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/converted/standard/The/000909a.wav,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/raw/The/000909a.mp3,soderstrom,cha,0,809764,809764,809764,cha,Theo,The/000909a_0_809764.csv,The/000909a.mp3
/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/annotations/cha/converted/The/000909b_0_1894336.csv,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/converted/standard/The/000909b.wav,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/raw/The/000909b.mp3,soderstrom,cha,0,1894336,1894336,1894336,cha,Theo,The/000909b_0_1894336.csv,The/000909b.mp3
/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/annotations/cha/converted/The/000915a_0_1973248.csv,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/converted/standard/The/000915a.wav,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/raw/The/000915a.mp3,soderstrom,cha,0,1973248,1973248,1973248,cha,Theo,The/000915a_0_1973248.csv,The/000915a.mp3
/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/annotations/cha/converted/The/000915b_0_1516768.csv,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/converted/standard/The/000915b.wav,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/raw/The/000915b.mp3,soderstrom,cha,0,1516768,1516768,1516768,cha,Theo,The/000915b_0_1516768.csv,The/000915b.mp3
/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/annotations/cha/converted/The/000915c_0_704500.csv,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/converted/standard/The/000915c.wav,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/raw/The/000915c.mp3,soderstrom,cha,0,704500,704500,704500,cha,Theo,The/000915c_0_704500.csv,The/000915c.mp3
/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/annotations/cha/converted/The/000915d_0_560608.csv,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/converted/standard/The/000915d.wav,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/raw/The/000915d.mp3,soderstrom,cha,0,560608,560608,560608,cha,Theo,The/000915d_0_560608.csv,The/000915d.mp3
/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/annotations/cha/converted/The/001011a_0_412864.csv,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/converted/standard/The/001011a.wav,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/raw/The/001011a.mp3,soderstrom,cha,0,412864,412864,412864,cha,Theo,The/001011a_0_412864.csv,The/001011a.mp3
/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/annotations/cha/converted/The/001011b_0_2256748.csv,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/converted/standard/The/001011b.wav,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/raw/The/001011b.mp3,soderstrom,cha,0,2256748,2256748,2256748,cha,Theo,The/001011b_0_2256748.csv,The/001011b.mp3
/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/annotations/cha/converted/The/001011c_0_1145320.csv,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/converted/standard/The/001011c.wav,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/raw/The/001011c.mp3,soderstrom,cha,0,1145320,1145320,1145320,cha,Theo,The/001011c_0_1145320.csv,The/001011c.mp3
/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/annotations/cha/converted/The/010017_0_1904884.csv,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/converted/standard/The/010017.wav,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/raw/The/010017.mp3,soderstrom,cha,0,1904884,1904884,1904884,cha,Theo,The/010017_0_1904884.csv,The/010017.mp3
/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/annotations/cha/converted/The/010028a_0_2271040.csv,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/converted/standard/The/010028a.wav,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/raw/The/010028a.mp3,soderstrom,cha,0,2271040,2271040,2271040,cha,Theo,The/010028a_0_2271040.csv,The/010028a.mp3
/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/annotations/cha/converted/The/010028b_0_1683196.csv,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/converted/standard/The/010028b.wav,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/raw/The/010028b.mp3,soderstrom,cha,0,1683196,1683196,1683196,cha,Theo,The/010028b_0_1683196.csv,The/010028b.mp3
/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/bergelson/annotations/eaf/an1/converted/123439-0396_1_10140000_10260000.csv,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/bergelson/recordings/converted/standard/123439-0396_1.wav,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/bergelson/recordings/raw/123439-0396_1.wav,bergelson,eaf/an1,10140000,10260000,120000,42474860,eaf,43,123439-0396_1_10140000_10260000.csv,123439-0396_1.wav
/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/bergelson/annotations/eaf/an1/converted/123439-0396_1_11160000_11280000.csv,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/bergelson/recordings/converted/standard/123439-0396_1.wav,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/bergelson/recordings/raw/123439-0396_1.wav,bergelson,eaf/an1,11160000,11280000,120000,42474860,eaf,43,123439-0396_1_11160000_11280000.csv,123439-0396_1.wav
/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/bergelson/annotations/eaf/an1/converted/123439-0396_1_12900000_13020000.csv,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/bergelson/recordings/converted/standard/123439-0396_1.wav,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/bergelson/recordings/raw/123439-0396_1.wav,bergelson,eaf/an1,12900000,13020000,120000,42474860,eaf,43,123439-0396_1_12900000_13020000.csv,123439-0396_1.wav
/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/bergelson/annotations/eaf/an1/converted/123439-0396_1_13680000_13800000.csv,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/bergelson/recordings/converted/standard/123439-0396_1.wav,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/bergelson/recordings/raw/123439-0396_1.wav,bergelson,eaf/an1,13680000,13800000,120000,42474860,eaf,43,123439-0396_1_13680000_13800000.csv,123439-0396_1.wav
